method	len_lst	n_pools	iters	error
copepodTCR	100	15	5	0
copepodTCR	100	17	6	0
copepodTCR	100	18	6	0
copepodTCR	100	20	7	0
copepodTCR	100	22	8	0
copepodTCR	100	23	8	0
copepodTCR	100	25	9	0
copepodTCR	100	27	10	0
copepodTCR	100	28	10	0
copepodTCR	100	19	3	0
copepodTCR	100	20	3	0
copepodTCR	100	21	3	0
copepodTCR	100	24	4	0
copepodTCR	100	25	4	0
copepodTCR	100	26	4	0
copepodTCR	100	27	4	0
copepodTCR	100	28	5	0
copepodTCR	100	29	5	0
copepodTCR	500	15	5	0
copepodTCR	500	17	6	0
copepodTCR	500	18	6	0
copepodTCR	500	20	7	0
copepodTCR	500	22	8	0
copepodTCR	500	23	8	0
copepodTCR	500	25	9	0
copepodTCR	500	27	10	0
copepodTCR	500	28	10	0
copepodTCR	500	19	3	0
copepodTCR	500	20	3	0
copepodTCR	500	21	3	0
copepodTCR	500	24	4	0
copepodTCR	500	25	4	0
copepodTCR	500	26	4	0
copepodTCR	500	27	4	0
copepodTCR	500	28	5	0
copepodTCR	500	29	5	0
copepodTCR	1000	15	5	0
copepodTCR	1000	17	6	0
copepodTCR	1000	18	6	0
copepodTCR	1000	20	7	0
copepodTCR	1000	22	8	0
copepodTCR	1000	23	8	0
copepodTCR	1000	25	9	0
copepodTCR	1000	27	10	0
copepodTCR	1000	28	10	0
copepodTCR	1000	21	3	0
copepodTCR	1000	24	4	0
copepodTCR	1000	25	4	0
copepodTCR	1000	26	4	0
copepodTCR	1000	27	4	0
copepodTCR	1000	28	5	0
copepodTCR	1000	29	5	0
copepodTCR	1500	15	5	0
copepodTCR	1500	17	6	0
copepodTCR	1500	18	6	0
copepodTCR	1500	20	7	0
copepodTCR	1500	22	8	0
copepodTCR	1500	23	8	0
copepodTCR	1500	25	9	0
copepodTCR	1500	27	10	0
copepodTCR	1500	28	10	0
copepodTCR	1500	24	4	0
copepodTCR	1500	25	4	0
copepodTCR	1500	26	4	0
copepodTCR	1500	27	4	0
copepodTCR	1500	28	5	0
copepodTCR	1500	29	5	0
basic	100	15	5	0
basic	100	17	6	0
basic	100	18	6	0
basic	100	20	7	0
basic	100	22	8	0
basic	100	23	8	0
basic	100	25	9	0
basic	100	27	10	0
basic	100	28	10	0
basic	100	19	3	0
basic	100	20	3	0
basic	100	21	3	0
basic	100	24	4	0
basic	100	25	4	0
basic	100	26	4	0
basic	100	27	4	0
basic	100	28	5	0
basic	100	29	5	0
basic	500	15	5	0
basic	500	17	6	0
basic	500	18	6	0
basic	500	20	7	0
basic	500	22	8	0
basic	500	23	8	0
basic	500	25	9	0
basic	500	27	10	0
basic	500	28	10	0
basic	500	19	3	0
basic	500	20	3	0
basic	500	21	3	0
basic	500	24	4	0
basic	500	25	4	0
basic	500	26	4	0
basic	500	27	4	0
basic	500	28	5	0
basic	500	29	5	0
basic	1000	15	5	0
basic	1000	17	6	0
basic	1000	18	6	0
basic	1000	20	7	0
basic	1000	22	8	0
basic	1000	23	8	0
basic	1000	25	9	0
basic	1000	27	10	0
basic	1000	28	10	0
basic	1000	21	3	0
basic	1000	24	4	0
basic	1000	25	4	0
basic	1000	26	4	0
basic	1000	27	4	0
basic	1000	28	5	0
basic	1000	29	5	0
basic	1500	15	5	0
basic	1500	17	6	0
basic	1500	18	6	0
basic	1500	20	7	0
basic	1500	22	8	0
basic	1500	23	8	0
